Year,Country,Happiness Rank,Happiness Score,Freedom,Generosity,Social support,Economy_GDP_per_Capita,Trust_Government_Corruption,Health_Life_Expectancy
2015,Switzerland,1.0,7.587,0.66557,0.29678,1.34951,1.39651,0.41978,0.94143
2015,Iceland,2.0,7.561,0.62877,0.4363,1.40223,1.30232,0.14145,0.94784
2015,Denmark,3.0,7.527,0.64938,0.34139,1.36058,1.32548,0.48357,0.87464
2015,Norway,4.0,7.522,0.66973,0.34699,1.33095,1.459,0.36503,0.88521
2015,Canada,5.0,7.427,0.63297,0.45811,1.32261,1.32629,0.32957,0.90563
2015,Finland,6.0,7.406,0.64169,0.23351,1.31826,1.29025,0.41372,0.88911
2015,Netherlands,7.0,7.378,0.61576,0.4761,1.28017,1.32944,0.31814,0.89284
2015,Sweden,8.0,7.364,0.6598,0.36262,1.28907,1.33171,0.43844,0.91087
2015,New Zealand,9.0,7.286,0.63938,0.47501,1.31967,1.25018,0.42922,0.90837
2015,Australia,10.0,7.284,0.65124,0.43562,1.30923,1.33358,0.35637,0.93156
2015,Israel,11.0,7.278,0.41319,0.33172,1.22393,1.22857,0.07785,0.91387
2015,Costa Rica,12.0,7.226,0.63376,0.25497,1.23788,0.95578,0.10583,0.86027
2015,Austria,13.0,7.2,0.62433,0.33088,1.29704,1.33723,0.18676,0.89042
2015,Mexico,14.0,7.187,0.48181,0.14074,0.91451,1.02054,0.21312,0.81444
2015,United States,15.0,7.119,0.54604,0.40105,1.24711,1.39451,0.1589,0.86179
2015,Brazil,16.0,6.983,0.49049,0.14574,1.23287,0.98124,0.17521,0.69702
2015,Luxembourg,17.0,6.946,0.61583,0.28034,1.21963,1.56391,0.37798,0.91894
2015,Ireland,18.0,6.94,0.61777,0.45901,1.36948,1.33596,0.28703,0.89533
2015,Belgium,19.0,6.937,0.5845,0.2225,1.28566,1.30782,0.2254,0.89667
2015,United Arab Emirates,20.0,6.901,0.64157,0.26428,1.12575,1.42727,0.38583,0.80925
2015,United Kingdom,21.0,6.867,0.59625,0.51912,1.28548,1.26637,0.32067,0.90943
2015,Oman,22.0,6.853,0.63274,0.21542,1.08182,1.36011,0.32524,0.76276
2015,Venezuela,23.0,6.81,0.42908,0.05841,1.25596,1.04424,0.11069,0.72052
2015,Singapore,24.0,6.798,0.54252,0.31105,1.02,1.52186,0.4921,1.02525
2015,Panama,25.0,6.786,0.5421,0.24434,1.1985,1.06353,0.0927,0.79661
2015,Germany,26.0,6.75,0.61477,0.28214,1.29937,1.32792,0.21843,0.89186
2015,Chile,27.0,6.67,0.44132,0.33363,1.12447,1.10715,0.12869,0.85857
2015,Qatar,28.0,6.611,0.6404,0.32573,1.0786,1.69042,0.52208,0.79733
2015,France,29.0,6.575,0.55011,0.12332,1.26038,1.27778,0.20646,0.94579
2015,Argentina,30.0,6.574,0.44974,0.11451,1.24823,1.05351,0.08484,0.78723
2015,Czech Republic,31.0,6.505,0.46364,0.10686,1.20643,1.17898,0.02652,0.84483
2015,Uruguay,32.0,6.485,0.60362,0.2324,1.2089,1.06166,0.24558,0.8116
2015,Colombia,33.0,6.477,0.53466,0.18401,1.24018,0.91861,0.0512,0.69077
2015,Thailand,34.0,6.455,0.55664,0.5763,1.26504,0.9669,0.03187,0.7385
2015,Saudi Arabia,35.0,6.411,0.31048,0.13706,1.08393,1.39541,0.32524,0.72025
2015,Spain,36.0,6.329,0.45951,0.18227,1.31379,1.23011,0.06398,0.95562
2015,Malta,37.0,6.302,0.60365,0.51752,1.30203,1.2074,0.13586,0.88721
2015,Taiwan,38.0,6.298,0.3974,0.25376,1.07617,1.29098,0.08129,0.8753
